11	21	15	30	32	24	2	18	28	17	7	3	26	27	16	22	14	20	10	4	6	13	8	9	12	29	23	19	5	1	25	31
12	29	23	19	5	1	25	31	11	21	15	30	32	24	2	18	28	17	7	3	26	27	16	22	14	20	10	4	6	13	8	9
14	20	10	4	6	13	8	9	12	29	23	19	5	1	25	31	11	21	15	30	32	24	2	18	28	17	7	3	26	27	16	22
28	17	7	3	26	27	16	22	14	20	10	4	6	13	8	9	12	29	23	19	5	1	25	31	11	21	15	30	32	24	2	18
28	30	3	12	10	1	18	32	9	17	26	4	11	31	24	14	2	19	23	5	7	8	25	21	16	15	22	13	27	6	29	20
16	15	22	13	27	6	29	20	28	30	3	12	10	1	18	32	9	17	26	4	11	31	24	14	2	19	23	5	7	8	25	21
2	19	23	5	7	8	25	21	16	15	22	13	27	6	29	20	28	30	3	12	10	1	18	32	9	17	26	4	11	31	24	14
9	17	26	4	11	31	24	14	2	19	23	5	7	8	25	21	16	15	22	13	27	6	29	20	28	30	3	12	10	1	18	32
17	27	1	29	31	16	14	21	30	24	12	10	23	5	7	3	28	2	18	4	11	22	6	25	13	19	32	9	20	8	26	15
13	19	32	9	20	8	26	15	17	27	1	29	31	16	14	21	30	24	12	10	23	5	7	3	28	2	18	4	11	22	6	25
28	2	18	4	11	22	6	25	13	19	32	9	20	8	26	15	17	27	1	29	31	16	14	21	30	24	12	10	23	5	7	3
30	24	12	10	23	5	7	3	28	2	18	4	11	22	6	25	13	19	32	9	20	8	26	15	17	27	1	29	31	16	14	21
22	24	15	28	19	16	9	11	7	10	23	30	12	18	13	26	25	6	17	20	29	8	2	32	5	3	27	31	21	14	4	1
5	3	27	31	21	14	4	1	22	24	15	28	19	16	9	11	7	10	23	30	12	18	13	26	25	6	17	20	29	8	2	32
25	6	17	20	29	8	2	32	5	3	27	31	21	14	4	1	22	24	15	28	19	16	9	11	7	10	23	30	12	18	13	26
7	10	23	30	12	18	13	26	25	6	17	20	29	8	2	32	5	3	27	31	21	14	4	1	22	24	15	28	19	16	9	11
11	22	32	17	6	30	24	3	16	5	25	14	23	2	1	7	12	18	27	15	10	9	8	28	19	29	21	13	31	4	20	26
19	29	21	13	31	4	20	26	11	22	32	17	6	30	24	3	16	5	25	14	23	2	1	7	12	18	27	15	10	9	8	28
12	18	27	15	10	9	8	28	19	29	21	13	31	4	20	26	11	22	32	17	6	30	24	3	16	5	25	14	23	2	1	7
16	5	25	14	23	2	1	7	12	18	27	15	10	9	8	28	19	29	21	13	31	4	20	26	11	22	32	17	6	30	24	3
13	28	23	22	4	26	25	27	18	15	20	5	29	16	6	7	11	14	19	30	9	17	3	2	1	32	10	31	8	21	12	24
1	32	10	31	8	21	12	24	13	28	23	22	4	26	25	27	18	15	20	5	29	16	6	7	11	14	19	30	9	17	3	2
